Release,FileName,sizeLoc,locTouched,numR,numFix,numAuth,locAdded,avgLocAdded,maxLocAdded,churn,maxChurn,avgChurn,age,weightedAge,Bugginess
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,63,9,3,0,2,0,0.0,0,0,0,0.0,35,3.888888888888889,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,175,25,6,1,3,5,5.0,5,5,5,2.5,35,1.4,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,106,122,3,1,2,117,58.5,116,117,116,39.333332,7,0.05737704918032787,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,46,55,1,0,1,55,27.5,55,55,55,27.5,2,0.03636363636363636,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,136,14,4,0,3,0,0.0,0,0,0,0.0,35,2.5,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,96,45,4,0,3,25,25.0,25,25,25,8.333333,35,0.7777777777777778,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,103,14,5,0,3,2,1.0,1,2,1,1.0,35,2.5,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,55,8,3,0,3,1,0.5,1,1,1,0.6666667,35,4.375,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,64,72,1,0,1,72,36.0,72,72,72,36.0,2,0.027777777777777776,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,40,42,1,0,1,42,21.0,42,42,42,21.0,2,0.047619047619047616,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,44,56,3,0,2,48,48.0,48,48,48,8.0,35,0.625,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,58,67,2,0,2,63,63.0,63,63,63,12.6,35,0.5223880597014925,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,222,257,2,0,2,237,237.0,237,237,237,11.285714,35,0.13618677042801555,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,113,139,3,0,2,133,133.0,133,133,133,66.5,35,0.2517985611510791,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,115,150,4,0,2,136,136.0,136,136,136,68.0,35,0.23333333333333334,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,153,181,3,0,2,176,176.0,176,176,176,58.666668,35,0.19337016574585636,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,41,47,2,0,2,46,46.0,46,46,46,23.0,35,0.7446808510638298,false
