Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,27.0,252.0,29.0,0.0,0.0967741935483871,1.0,0.8480954263872413,0.019777222095930892
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,51.0,388.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,51.0,388.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,101.0,338.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,49.0,390.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,49.0,390.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,108.0,331.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,133.0,306.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,133.0,306.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,147.0,292.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,71.0,368.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,71.0,368.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,94.0,345.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,55.0,384.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,55.0,384.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,84.0,355.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,372.0,67.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,372.0,67.0,0.0,0.0,0.0,0.0,0.0
