ShadID; Commit; Message; Ticket; Date; Authors; Version; Files
e0fd93a4bc248e438fabcc06255d885b8a21e4f2;commit e0fd93a4bc248e438fabcc06255d885b8a21e4f2 1676950075 -----sp;Bump vertx-web from 4.3.2 to 4.3.8 (#3775);;2023-02-21;dependabot[bot];14;
13ccc4caf8ad80e84279e88edae0e71b8a555e09;commit 13ccc4caf8ad80e84279e88edae0e71b8a555e09 1676941806 -----sp;Only acquire buffer when need write. (#3786);;2023-02-21;lifepuzzlefun;14;
5726e8f1c03a6687c74678004f069c093eb0c94e;commit 5726e8f1c03a6687c74678004f069c093eb0c94e 1676882603 -----sp;generate 4.14.7 website docs (#3787);;2023-02-20;Hang Chen;14;
10daf4cd4d3ccf6b74b98609e321b5fe58bd1fe2;commit 10daf4cd4d3ccf6b74b98609e321b5fe58bd1fe2 1676857499 -----sp;Generate 4.14.7 release note (#3770);;2023-02-20;Hang Chen;14;
2381d9b65a37b6e58ffc9c7be2aba35fd37874b7;commit 2381d9b65a37b6e58ffc9c7be2aba35fd37874b7 1676617776 -----sp;Fix RegionAwareEnsemblePlacementPolicy.newEnsemble sometimes failed problem. (#3725);;2023-02-17;Yan Zhao;14;
7f8c31bdad3bf7261e795feafd7f969f871baa82;commit 7f8c31bdad3bf7261e795feafd7f969f871baa82 1676599969 -----sp;New ensemble choose different rack first. (#3721);;2023-02-17;Yan Zhao;14;
1162512fd8929266a0b38b4929d105698d3fd446;commit 1162512fd8929266a0b38b4929d105698d3fd446 1676518829 -----sp;Fix missing blank in log text (#3781);;2023-02-16;gaozhangmin;14;
c217385ea4a50fc3721b4750f5625fbc7355e853;commit c217385ea4a50fc3721b4750f5625fbc7355e853 1676518760 -----sp;[improvement] Refactor Auditor to simplify the readability (#3637);;2023-02-16;wenbingshen;14;
d6d9212a64a6c9dabd69a646082718929c43b4f9;commit d6d9212a64a6c9dabd69a646082718929c43b4f9 1676445311 -----sp;Not wrap IOException twice form checkpoint (#3683);;2023-02-15;wenbingshen;14;
6489a7d4193ca96379578a8c82b14e780154c6ef;commit 6489a7d4193ca96379578a8c82b14e780154c6ef 1676445219 -----sp;Fix numLedgersReplicated metric (#3654);;2023-02-15;wenbingshen;14;
b9a82c54c75108662d35c7bfef075e8e971cb2f7;commit b9a82c54c75108662d35c7bfef075e8e971cb2f7 1676260971 -----sp;Remove duplicated JournalQueueStats (#3753);;2023-02-13;houxiaoyu;14;
591ceb971a7eda7ce5252f88c5cf694f3f4c30b2;commit 591ceb971a7eda7ce5252f88c5cf694f3f4c30b2 1676078452 -----sp;fix admin rest api typo (#3776);;2023-02-11;ZhangJian He;14;
cec8267682202dfb77342db4366fef07ad7632d6;commit cec8267682202dfb77342db4366fef07ad7632d6 1676021194 -----sp;recycle LongPairWrapper (#3728);;2023-02-10;wenbingshen;14;
3068b2ae923e9122af562248ce23c9c051622e35;commit 3068b2ae923e9122af562248ce23c9c051622e35 1676017348 -----sp;Upgrade dependency-check-maven plugin to fix broken OWASP check (#3731);;2023-02-10;Lari Hotari;14;
7303cf1af3ae66aace8fd795dc1c5a8695224c7e;commit 7303cf1af3ae66aace8fd795dc1c5a8695224c7e 1676016054 -----sp;Upgrade Netty to 4.1.87.Final (#3766);;2023-02-10;Lari Hotari;14;
b85ac48e8b61748300206646ab9dd1fc16ed1616;commit b85ac48e8b61748300206646ab9dd1fc16ed1616 1675927852 -----sp;BookieImpl remove wait until journal quits (#3603);;2023-02-09;wenbingshen;14;
4ca4b4e4845ec1a3d5b17c96c99e97a62b5ec6c7;commit 4ca4b4e4845ec1a3d5b17c96c99e97a62b5ec6c7 1675912950 -----sp;Fix issue where checkAllLedgers could get stuck when read throttling is enabled (#3655);;2023-02-09;Masahiro Sakamoto;14;
61c553b9a892612721c1f2c508a3660b9707cfcf;commit 61c553b9a892612721c1f2c508a3660b9707cfcf 1675912558 -----sp;Bump http-cache-semantics from 4.1.0 to 4.1.1 in /site3/website (#3765);;2023-02-09;dependabot[bot];14;
700d45f43566f49299f70b7d2c64e05bfd05b25a;commit 700d45f43566f49299f70b7d2c64e05bfd05b25a 1675840554 -----sp;Replace LedgerStorageNotificationListener with existing LedgerDeletionListener (#3736);;2023-02-08;wenbingshen;14;
af82d14cb1da6a97b563b80e80b5d2fe462e2c4f;commit af82d14cb1da6a97b563b80e80b5d2fe462e2c4f 1675839191 -----sp;Fix memory leak when the Bookie is in read-only mode. (#3746);;2023-02-08;Yan Zhao;14;
02e64a4b97e03afc9993ab227f82a5956965c03f;commit 02e64a4b97e03afc9993ab227f82a5956965c03f 1675489988 -----sp;[improve] Upgrade zk to 3.8.1 (#3754);;2023-02-04;Andrey Yegorov;14;
901f76ce4c4f9f771363424dbb60da4d590ad122;commit 901f76ce4c4f9f771363424dbb60da4d590ad122 1675391681 -----sp;Fix QueueEntry recycle problem. (#3747);;2023-02-03;Yan Zhao;14;
f6a7c0617c9c5b566671234c98fa84e43655631b;commit f6a7c0617c9c5b566671234c98fa84e43655631b 1675391548 -----sp;Add push trigger condition for CI (#3760);;2023-02-03;Lishen Yao;14;
accaa6966f17cb9bf6c7d74de3deac49b758c01b;commit accaa6966f17cb9bf6c7d74de3deac49b758c01b 1675244394 -----sp;Bump snakeyaml from 1.32 to 1.33 (#3757);;2023-02-01;ZhangJian He;14;
c7cc668230b7a2d5f114f37709d01a1449caea12;commit c7cc668230b7a2d5f114f37709d01a1449caea12 1675065668 -----sp;Add code coverage report and upload to Codecov (#3586);;2023-01-30;Lishen Yao;14;
dbf682d76c368c9a805a1689cfc134e3f78ac9c0;commit dbf682d76c368c9a805a1689cfc134e3f78ac9c0 1674955153 -----sp;Remove unnecessary hasExplicitLac check (#3748);;2023-01-29;houxiaoyu;14;
a2b0709627f642c16bc13e370394095ad3c58532;commit a2b0709627f642c16bc13e370394095ad3c58532 1674898789 -----sp;Bump hadoop-common from 3.2.4 to 3.3.4 (#3756);;2023-01-28;ZhangJian He;14;
8ea223418330b55ccb890a223aa166f5c2ad8372;commit 8ea223418330b55ccb890a223aa166f5c2ad8372 1674893885 -----sp;Update copy right year from 2022 to 2023 (#3742);;2023-01-28;ZhangJian He;14;
e7636086ed0ad8615fd30807da1ea740ed400756;commit e7636086ed0ad8615fd30807da1ea740ed400756 1674893739 -----sp;unify SLASHSTAR_STYLE for licenses in Java files (#3741);;2023-01-28;ZhangJian He;14;
7b5b6b240ca7551da266903078f2dd2ba2906b96;commit 7b5b6b240ca7551da266903078f2dd2ba2906b96 1673948440 -----sp;CI: move all tests in a single workflow  (#3735);;2023-01-17;Nicolò Boschi;14;
9e8cda30d4e63371ff9ae12e64189aee47ad8000;commit 9e8cda30d4e63371ff9ae12e64189aee47ad8000 1673426597 -----sp;Bump loader-utils from 1.4.0 to 1.4.2 in /site3/website (#3648);;2023-01-11;dependabot[bot];14;
2536a580dd60442d4846be4c7fe6779ee3786500;commit 2536a580dd60442d4846be4c7fe6779ee3786500 1673425406 -----sp;Generate 4.14.6 website docs (#3729);;2023-01-11;Hang Chen;14;
b5f85e0d1d17c5e29ac7b378f93a3558ed843eaa;commit b5f85e0d1d17c5e29ac7b378f93a3558ed843eaa 1673425317 -----sp;Bump json5 from 1.0.1 to 1.0.2 in /site3/website (#3727);;2023-01-11;dependabot[bot];14;
